pair_id,sentence1,sentence2,is_duplicate,similarity_score,category
1,ช่วยตรวจสอบหน่อยครับ ลืมกระเป๋าสตางค์ไว้ที่ ตึก CE มีใครเก็บได้บ้างครับ,ช่วยตรวจสอบหน่อยครับ ตามหาของหาย ลืมไอแพดไว้ที่ อาคารเรียนรวม ช่วยดูกล้องให้ที ปล่อยไว้นานแล้ว,1,0.94,หมวดบริการทั่วไป / อื่นๆ
2,ขอร้องเรียนค่ะ ประตูห้องน้ำชาย หอพักนิสิต UP DORM ลูกบิดพัง ล็อคไม่ได้ ขอบคุณครับ,ช่วยตรวจสอบหน่อยครับ ลูกบิดประตูห้องน้ำ หอพักนิสิต UP DORM หลุด ล็อคไม่ได้ช่วยซ่อมที รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,1,0.81,หมวดอาคารและสิ่งอำนวยความสะดวก
3,แอดมินครับ บัตรนิสิตหาย ต้องการทำบัตรใหม่ต้องเตรียมอะไรบ้าง ปล่อยไว้นานแล้ว,ด่วนมาก! ทำบัตรประจำตัวนิสิตใหม่ ติดต่อสำนักทะเบียนห้องไหนครับ เป็นแบบนี้มาหลายวันแล้วครับ,1,0.93,หมวดบริการทั่วไป / อื่นๆ
4,แจ้งเรื่องครับ: เศษขยะเกลื่อนกลาดรอบโต๊ะม้าหินอ่อน ลานจอดรถหน้ามอ ขอบคุณครับ,ขอร้องเรียนค่ะ บริเวณที่นั่งเล่น หอพักนิสิต UP DORM ขยะเต็มโต๊ะ ไม่มีคนกวาด ปล่อยไว้นานแล้ว,0,0.4,หมวดภูมิทัศน์และความสะอาด (ต่างประเด็น)
5,เข้าใช้งานระบบ UP Pass ไม่ได้ ล็อกอินแล้วเด้งออก รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,นิสิตเดือดร้อนมากค่ะ วิชาบังคับเซคเต็มทุกเซค ขอเปิดเพิ่มอีกเซคได้ไหมครับ ขอบคุณครับ,0,0.08,ต่างหมวดหมู่
6,ช่วยประสานงานทีครับ พบสุนัขจรจัดดุวิ่งไล่กวดนิสิตบริเวณ ลานจอดรถหน้ามอ ขอบคุณครับ,ด่วนมาก! กล้อง CCTV ตรง ตึก PKY ใช้งานไม่ได้ อยากขอเปิดดูของหาย รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.42,หมวดความปลอดภัยและจราจร (ต่างประเด็น)
7,แอดมินครับ อินเทอร์เน็ตที่ หอพักนิสิต UP DORM ใช้งานไม่ได้เลย สัญญาณกากบาท ขอบคุณครับ,ด่วนมาก! รถเมล์มอสาย 3 ขับปาดซ้ายปาดขวา เบรกแรง กลัวอันตราย ปล่อยไว้นานแล้ว,0,0.07,ต่างหมวดหมู่
8,ช่วยประสานงานทีครับ คนขับรถเมล์ มพ. สาย 2 ขับเร็วและหวาดเสียวมาก ขอบคุณครับ,แอดมินครับ รถเมล์มอสาย 2 ขับปาดซ้ายปาดขวา เบรกแรง กลัวอันตราย ช่วยตรวจสอบทีครับ,1,0.93,หมวดการเดินทางและระบบขนส่ง
9,แอดมินครับ สัญญาณ WiFi UP-WiFi ที่ ตึก ICT หลุดบ่อยมาก ช้ามาก,ช่วยประสานงานทีครับ เน็ต UP-WiFi ที่ ตึกเทคโนโลยีสารสนเทศและการสื่อสาร ช้ามาก สัญญาณหลุดตลอดเวลา ขอบคุณครับ,1,0.9,หมวดเทคโนโลยีสารสนเทศ
10,ขอร้องเรียนค่ะ ขอเปิดเซคชั่นเพิ่มวิชาศึกษาทั่วไป นิสิตยังลงไม่ครบ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,ด่วนมาก! วิชาบังคับเซคเต็มทุกเซค ขอเปิดเพิ่มอีกเซคได้ไหมครับ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,1,0.85,หมวดการเรียนการสอนและวิชาการ
11,ด่วนมาก! สอบถามเรื่องการยื่นกู้ กยศ. และส่งเอกสารทุนการศึกษา ขอบคุณครับ,ช่วยตรวจสอบหน่อยครับ เอกสารทุนการศึกษา มพ. ส่งได้ถึงวันไหนครับ ขอบคุณครับ,0,0.26,หมวดบริการทั่วไป / อื่นๆ (ต่างประเด็น)
12,ขอร้องเรียนค่ะ ห้องน้ำชั้น 2 ตึกสงวนเสริมศรี น้ำไม่ไหล ชักโครกกดไม่ลง รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,ช่วยประสานงานทีครับ ฝนตกแล้วน้ำรั่วลงมาจากเพดาน ตึก CE พื้นลื่นมาก รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.23,หมวดอาคารและสิ่งอำนวยความสะดวก (ต่างประเด็น)
13,แจ้งเรื่องครับ: อินเทอร์เน็ตที่ ตึกคณะบริหาร ใช้งานไม่ได้เลย สัญญาณกากบาท ช่วยตรวจสอบทีครับ,รบกวนเจ้าหน้าที่ครับ เน็ตตึก อาคารเรียนบริหาร ดับทั้งตึก เชื่อมต่อสัญญาณไม่ได้ ช่วยตรวจสอบทีครับ,1,0.81,หมวดเทคโนโลยีสารสนเทศ
14,ช่วยประสานงานทีครับ หญ้าขึ้นสูงรกมากข้างทางเดินไป ลานจอดรถหน้ามอ กลัวงู รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,แจ้งเรื่องครับ: บริเวณทางเดินไป ลานจอดรถหน้ามอ หญ้ารกมาก ช่วยตัดหญ้าทีครับ เดือดร้อนมากค่ะ ขอบคุณค่ะ,1,0.81,หมวดภูมิทัศน์และความสะอาด
15,ด่วนมาก! ระบบลงทะเบียนเรียน Reg ล่ม เข้าสู่ระบบไม่ได้ตั้งแต่เช้า ช่วยตรวจสอบทีครับ,ช่วยประสานงานทีครับ เว็บ reg.up.ac.th ล่ม กดเลือกวิชาไม่ได้เลยครับ รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.36,หมวดเทคโนโลยีสารสนเทศ (ต่างประเด็น)
16,ช่วยประสานงานทีครับ หลอดไฟในห้องเรียน CE05 ลานจอดรถหน้ามอ ขาด มืดมาก เป็นแบบนี้มาหลายวันแล้วครับ,ช่วยประสานงานทีครับ รถมอเตอร์ไซค์ชนกันบริเวณ ตึกคณะนิติศาสตร์ มีผู้ได้รับบาดเจ็บ ช่วยตรวจสอบทีครับ,0,0.08,ต่างหมวดหมู่
17,แอดมินครับ กล้องวงจรปิดบริเวณ หอพักนิสิต UP DORM ดับ เสียมาหลายวัน ช่วยตรวจสอบทีครับ,ขอร้องเรียนค่ะ กล้อง CCTV ตรง โซนหอพัก มพ. ใช้งานไม่ได้ อยากขอเปิดดูของหาย ปล่อยไว้นานแล้ว,1,0.94,หมวดความปลอดภัยและจราจร
18,ช่วยประสานงานทีครับ พบสุนัขจรจัดดุวิ่งไล่กวดนิสิตบริเวณ ตึกวิทย์ ช่วยตรวจสอบทีครับ,แอดมินครับ รถมอเตอร์ไซค์ชนกันบริเวณ หอสมุด มีผู้ได้รับบาดเจ็บ ช่วยตรวจสอบทีครับ,0,0.27,หมวดความปลอดภัยและจราจร (ต่างประเด็น)
19,แจ้งเรื่องครับ: แอร์ห้อง CE07 ตึกคณะนิติศาสตร์ เสีย ไม่เย็นเลย ร้อนมาก ปล่อยไว้นานแล้ว,ช่วยตรวจสอบหน่อยครับ หอสมุด ชั้น 1 ห้องน้ำน้ำหยุดไหล สกปรกมาก ช่วยตรวจสอบทีครับ,0,0.36,หมวดอาคารและสิ่งอำนวยความสะดวก (ต่างประเด็น)
20,ขอร้องเรียนค่ะ แอร์ห้อง 1305 ตึกคณะบริหาร เสีย ไม่เย็นเลย ร้อนมาก เดือดร้อนมากค่ะ ขอบคุณค่ะ,ด่วนมาก! อ่างล้างหน้า ตึกคณะบริหาร ท่อน้ำแตก น้ำนองเต็มพื้น รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.31,หมวดอาคารและสิ่งอำนวยความสะดวก (ต่างประเด็น)
21,ป้ายรถเมล์บริเวณ ตึกวิทย์ ไม่มีหลังคาบังแดดบังฝน ช่วยตรวจสอบทีครับ,ขอร้องเรียนค่ะ จอดมอเตอร์ไซค์ไว้ที่ ตึก PKY หมวกกันน็อคโดนขโมยไปครับ ปล่อยไว้นานแล้ว,0,0.17,ต่างหมวดหมู่
22,ช่วยประสานงานทีครับ ก๊อกน้ำอ่างล้างมือ ตึก ICT หัก น้ำพุ่งกระเด็น ช่วยตรวจสอบทีครับ,นิสิตเดือดร้อนมากค่ะ นิสิตต่อคิวรอรถเมล์ตรง ลานจอดรถหน้ามอ ยาวล้นออกมานอกฟุตบาท รบกวนเจ้าหน้าที่แก้ไขด่วนครับ,0,0.18,ต่างหมวดหมู่
