id,text,label,category
1,ตรงสนามหญ้าหน้าคณะมีสภาพ ขยะล้น รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
2,แจ้งเรื่องครับ พอดีเจอว่า แอร์ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
3,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา รถชน ครับ,2,หมวดความปลอดภัยและจราจร
4,ขออนุญาตสอบถามเรื่อง ขอสอบชดเชย ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
5,แจ้งเรื่องครับ พอดีเจอว่า พัง ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
6,แอดมินครับ ของหาย ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
7,ตรงสนามหญ้าหน้าคณะมีสภาพ ไม่ทำความสะอาด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
8,ขออนุญาตสอบถามเรื่อง ติดต่ออาจารย์ ของเทอมนี้ครับ,3,หมวดการเรียนการสอนและวิชาการ
9,แจ้งเรื่องครับ พอดีเจอว่า แอร์ไม่เย็น ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
10,แอดมินครับ สายรถ ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
11,รบกวนตรวจสอบบริเวณประตู 2 มีปัญหา รปภ. ครับ,2,หมวดความปลอดภัยและจราจร
12,แจ้งเรื่องครับ พอดีเจอว่า แอร์ ที่ตึกวิทย์,1,หมวดอาคารและสิ่งอำนวยความสะดวก
13,แอดมินครับ กิจกรรม ต้องติดต่อที่ส่วนไหนครับ,4,หมวดบริการทั่วไป / อื่นๆ
14,แอดมินครับ รถเต็ม ต้องติดต่อที่ส่วนไหนครับ,5,หมวดการเดินทางและระบบขนส่ง
15,ตรงสนามหญ้าหน้าคณะมีสภาพ หมาจรจัด รบกวนดูแลด้วย,0,หมวดภูมิทัศน์และความสะอาด
