text_a,text_b,score,label_type
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9212,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ป้ายหอพักใน,0.0088,DIFFERENT
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะศิลปศาสตร์,0.0151,DIFFERENT
คนขับรถชัตเติลบัสสาย 3 (สีแดง) ขับเร็วและเบรกกระชากแรงมากตรง ประตู 1 ม.พะเยา,รถเมล์ มพ. สาย 3 (สีแดง) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว ประตูหน้ามอ,0.9433,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ป้ายหอพักใน,0.0148,DIFFERENT
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง กองพัฒนานิสิต DSA รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ตึกกิจกรรมนิสิต DSA รถผ่านไม่ได้ การจราจรติดขัด,0.949,DUPLICATE
ไฟในห้องน้ำหญิง คณะเภสัชศาสตร์ ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ตึกเภสัช ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9474,DUPLICATE
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ กองพัฒนานิสิต DSA,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ตึกกิจกรรมนิสิต DSA สกปรกมาก ไม่ถูกสุขอนามัย,0.982,DUPLICATE
รถเมล์มอสาย 2 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร โรงอาหารสงวนเสริมศรี มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0201,DIFFERENT
คนขับรถชัตเติลบัสสาย 1 (สีม่วง) ขับเร็วและเบรกกระชากแรงมากตรง ทางเดิน Skywalk,รถเมล์ มพ. สาย 1 (สีม่วง) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว สะพานสกายวอล์ค,0.9286,DUPLICATE
หลอดไฟทางเดินหน้า โรงอาหารกลาง ดับสนิท มืดมาก,ถังขยะหน้า โรงอาหารกลาง ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0951,DIFFERENT
เครื่องปรับอากาศห้อง 1103 คณะพยาบาลศาสตร์ เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3103 คณะพยาบาลศาสตร์ เสีย ไม่เย็น,0.1602,DIFFERENT
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ คณะนิติศาสตร์,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ตึกนิติศาสตร์ สกปรกมาก ไม่ถูกสุขอนามัย,0.9837,DUPLICATE
สัญญาณอินเทอร์เน็ต UP-WiFi โรงอาหารสงวนเสริมศรี หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ โรงอาหาร PKY ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9326,DUPLICATE
แอร์ห้อง 3303 ตึก ICT มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 6 ตึก ICT แตก น้ำนองพื้น,0.0357,DIFFERENT
หลอดไฟทางเดินหน้า คณะวิทยาศาสตร์ ดับสนิท มืดมาก,ถังขยะหน้า คณะวิทยาศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0861,DIFFERENT
สายชำระและก๊อกน้ำห้องน้ำชั้น 6 คณะแพทยศาสตร์ แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 6 ตึกแพทย์,0.9425,DUPLICATE
ก๊อกน้ำและท่อประปาที่ โรงอาหารสงวนเสริมศรี ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0737,DIFFERENT
รถเมล์มอสาย 1 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร คณะศิลปศาสตร์ มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0241,DIFFERENT
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ตึก CE,0.0,DIFFERENT
แอร์ห้อง 1303 คณะเกษตรศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย ร้อนมาก,เครื่องปรับอากาศห้อง 1303 ตึกเกษตร น้ำหยดลงพื้น แอร์ไม่ฉ่ำเลย นั่งเรียนไม่ได้,0.9592,DUPLICATE
สายชำระและก๊อกน้ำห้องน้ำชั้น 5 กองพัฒนานิสิต DSA แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 5 ตึกกิจกรรมนิสิต DSA,0.9727,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ตึก CE,0.0238,DIFFERENT
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ โรงอาหารกลาง,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ โรงอาหารใหญ่ สกปรกมาก ไม่ถูกสุขอนามัย,0.96,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะพยาบาลศาสตร์,0.0,DIFFERENT
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.93,DUPLICATE
เครื่องปรับอากาศห้อง 1204 ป้ายรถเมล์หน้า ม. เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3104 ป้ายรถเมล์หน้า ม. เสีย ไม่เย็น,0.1417,DIFFERENT
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ โรงอาหารกลาง,0.0267,DIFFERENT
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด ประตู 1 ม.พะเยา,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ ประตูหน้ามอ,0.9461,DUPLICATE
คนขับรถชัตเติลบัสสาย 4 (สีน้ำเงิน) ขับเร็วและเบรกกระชากแรงมากตรง ทางเดิน Skywalk,รถเมล์ มพ. สาย 4 (สีน้ำเงิน) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว สะพานสกายวอล์ค,0.9515,DUPLICATE
รถเมล์มอสาย 1 (สีม่วง) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย ตึก EN,รอรถบัส มพ. สาย 1 (สีม่วง) ที่ อาคารคณะวิศวกรรมศาสตร์ นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9425,DUPLICATE
ถังขยะหน้า คณะศิลปศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกศิลปศาสตร์ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9777,DUPLICATE
รถเมล์มอสาย 4 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร โรงอาหารกลาง มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.028,DIFFERENT
คนขับรถชัตเติลบัสสาย 1 (สีม่วง) ขับเร็วและเบรกกระชากแรงมากตรง ตึก CE,รถเมล์ มพ. สาย 1 (สีม่วง) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว อาคารเรียนรวม CE,0.9427,DUPLICATE
