text,category_names,cat_1_building,cat_2_network_it,cat_3_academic,cat_4_landscape,cat_5_safety_traffic,cat_6_general_service,cat_7_transportation,cat_8_food_hygiene
กิ่งไม้ขนาดใหญ่หักโค่น อ่างหลวง ม.พะเยา พาดขวางถนนและทางเท้าหลังพายุฝนตก รถสัญจรลำบาก,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
ห้องปฏิบัติการคอมพิวเตอร์ห้อง 4403 คณะพยาบาลศาสตร์ ระบบไฟฟ้าขัดข้อง แอร์ดับ และสัญญาณอินเทอร์เน็ต WiFi ใช้งานไม่ได้พร้อมกัน,"อาคารและสิ่งอำนวยความสะดวก, ระบบเครือข่ายและเทคโนโลยี",1,1,0,0,0,0,0,0
โรงอาหารบริเวณ ตึก EN คณะวิศวกรรมศาสตร์ มีถังขยะเศษอาหารเน่าล้น ส่งกลิ่นเหม็นคลุ้งและพบแมลงสาบไต่บนโต๊ะทานข้าว ไม่ถูกสุขอนามัย,"ภูมิทัศน์และความสะอาด, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,1,0,0,0,1
รถบัส มพ. ไม่ยอมจอดรับผู้โดยสารที่ป้าย คณะบริหารธุรกิจและนิเทศศาสตร์ รถว่างแต่ขับผ่านเลยไป ไม่จอดรับคนที่รอ,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
ท่อน้ำทิ้งและหลังคาบริเวณ ประตู 1 ม.พะเยา แตกชำรุด น้ำสกปรกเอ่อล้นพัดพาขยะเกลื่อนพื้น ส่งกลิ่นเหม็นทั่วทางเดิน,"อาคารและสิ่งอำนวยความสะดวก, ภูมิทัศน์และความสะอาด",1,0,0,1,0,0,0,0
ป้ายรอรถเมล์ ประตู 3 ฝั่งเกษตร หลังคารั่ว ฝนตกแล้วน้ำรั่วลงมา เปียกทั้งที่นั่ง รอรถลำบากมาก,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
ไฟส่องสว่างและกลอนประตูห้องน้ำหญิงที่ วิทยาลัยการศึกษา พังชำรุด ดับสนิท กล้องวงจรปิดไม่ติด เสี่ยงอันตรายต่อความปลอดภัยของนิสิต,"อาคารและสิ่งอำนวยความสะดวก, ความปลอดภัยและจราจร",1,0,0,0,1,0,0,0
เว็บไซต์ระบบลงทะเบียน Reg UP เกิดขัดข้อง เข้าไม่ได้ ทำให้นิสิตไม่สามารถลงทะเบียนวิชาเรียนและตรวจสอบตารางสอบได้ตามกำหนด,"ระบบเครือข่ายและเทคโนโลยี, การเรียนการสอนและวิชาการ",0,1,1,0,0,0,0,0
เว็บไซต์ระบบลงทะเบียน Reg UP เกิดขัดข้อง เข้าไม่ได้ ทำให้นิสิตไม่สามารถลงทะเบียนวิชาเรียนและตรวจสอบตารางสอบได้ตามกำหนด,"ระบบเครือข่ายและเทคโนโลยี, การเรียนการสอนและวิชาการ",0,1,1,0,0,0,0,0
ร้านอาหารที่ คณะเกษตรศาสตร์ ใช้น้ำมันทอดซ้ำจนดำ และมีเศษแก้วแตกตกอยู่ในถาดอาหาร นิสิตกินแล้วบาดปากและมีอาการท้องเสีย,"ความปลอดภัยและจราจร, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,0,1,0,0,1
สวัสดิการประกันอุบัติเหตุสำหรับนิสิต ประสบอุบัติเหตุเข้ารับการรักษาที่โรงพยาบาล ต้องการทำเรื่องเบิกเคลมประกัน,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
มีบุคคลภายนอกน่าสงสัยเดินวนเวียน คณะนิติศาสตร์ ท่าทางไม่น่าไว้วางใจ อยากให้ รปภ. ช่วยตรวจสอบ,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
สุขอนามัยร้านน้ำและตู้กดน้ำดื่ม คณะเภสัชศาสตร์ มีตะไคร่น้ำและคราบสกปรกเกาะ ไม่มีการล้างทำความสะอาด,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
ไฟส่องสว่างและกลอนประตูห้องน้ำหญิงที่ ประตู 3 ฝั่งเกษตร พังชำรุด ดับสนิท กล้องวงจรปิดไม่ติด เสี่ยงอันตรายต่อความปลอดภัยของนิสิต,"อาคารและสิ่งอำนวยความสะดวก, ความปลอดภัยและจราจร",1,0,0,0,1,0,0,0
การยื่นคำร้องขอเทียบโอนหน่วยกิตรายวิชา เอกสารตกค้างที่คณะ ขอให้เจ้าหน้าที่ช่วยติดตามผล,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
สายชำระและก๊อกน้ำ ตึก ICT แตกชำรุด น้ำรั่วพุ่งนองเต็มพื้นห้องน้ำ,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
ห้องปฏิบัติการคอมพิวเตอร์ห้อง 1402 ตึก EN คณะวิศวกรรมศาสตร์ ระบบไฟฟ้าขัดข้อง แอร์ดับ และสัญญาณอินเทอร์เน็ต WiFi ใช้งานไม่ได้พร้อมกัน,"อาคารและสิ่งอำนวยความสะดวก, ระบบเครือข่ายและเทคโนโลยี",1,1,0,0,0,0,0,0
มีคนร้ายขโมยหมวกกันน็อคและของใต้เบาะรถ อาคารเทคโนโลยีสารสนเทศ โดนขโมยไปหลายคัน อยากให้ตรวจสอบกล้องวงจรปิด,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
รถจักรยานยนต์ขับเร็วและย้อนศรบริเวณ หอพักลุมพินี ขับขี่อันตรายมาก เกือบชนนิสิตข้ามทางม้าลายหลายครั้ง,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
เศษกระจกและขยะแก้วแตกเกลื่อนบนพื้น สนามกีฬาในร่ม อันตรายมาก กลัวบาดเท้านิสิตและยางรถมอเตอร์ไซค์รั่ว,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
ไฟส่องสว่างและกลอนประตูห้องน้ำหญิงที่ ตึก ICT พังชำรุด ดับสนิท กล้องวงจรปิดไม่ติด เสี่ยงอันตรายต่อความปลอดภัยของนิสิต,"อาคารและสิ่งอำนวยความสะดวก, ความปลอดภัยและจราจร",1,0,0,0,1,0,0,0
กลอนประตูล็อคห้องน้ำ วิทยาลัยการศึกษา พังหัก ล็อคประตูไม่อยู่ ปิดไม่ได้,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
หลอดไฟในห้องน้ำรวม คณะแพทยศาสตร์ ดับมืดสนิท กระพริบตลอดเวลา ใช้งานไม่ได้,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
ระบบเว็บลงทะเบียนเรียน REG UP เข้าใช้งานไม่ได้ ขึ้น 504 Gateway Timeout ช่วงเปิดจองวิชาศึกษาทั่วไป,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
สวัสดิการประกันอุบัติเหตุสำหรับนิสิต ประสบอุบัติเหตุเข้ารับการรักษาที่โรงพยาบาล ต้องการทำเรื่องเบิกเคลมประกัน,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
ไฟส่องสว่างทางเดิน คณะเกษตรศาสตร์ ดับมืดสนิท ทางเปลี่ยวมาก เสี่ยงต่อการเกิดอาชญากรรมและชิงทรัพย์,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
ระบบเครือข่ายอินเทอร์เน็ต LAN ทางเดิน Skywalk สายแลนชำรุด สัญญาณไม่เข้าคอมพิวเตอร์,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
การขอใช้พื้นที่จัดกิจกรรมชมรมและโครงการนิสิต ตึก CE ยื่นหนังสือขออนุมัติสถานที่ล่วงหน้า ต้องติดต่อหน่วยงานใด,บริการทั่วไปและสวัสดิการ,0,0,0,0,0,1,0,0
ลิฟต์โดยสาร คณะนิติศาสตร์ ค้างที่ชั้น {floor} ประตูปิดไม่สนิท มีเสียงดังน่ากลัว,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
กิ่งไม้ขนาดใหญ่หักโค่น โรงอาหารกลาง พาดขวางถนนและทางเท้าหลังพายุฝนตก รถสัญจรลำบาก,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
ซากนกและสัตว์ตาย คณะศิลปศาสตร์ ส่งกลิ่นเหม็นเน่า แมลงวันตอม อยากให้แม่บ้านช่วยเก็บทำความสะอาด,ภูมิทัศน์และความสะอาด,0,0,0,1,0,0,0,0
โรงอาหารบริเวณ กองพัฒนานิสิต DSA มีถังขยะเศษอาหารเน่าล้น ส่งกลิ่นเหม็นคลุ้งและพบแมลงสาบไต่บนโต๊ะทานข้าว ไม่ถูกสุขอนามัย,"ภูมิทัศน์และความสะอาด, สุขอนามัยและความปลอดภัยทางอาหาร",0,0,0,1,0,0,0,1
ลิฟต์โดยสาร คณะวิทยาศาสตร์ ค้างที่ชั้น {floor} ประตูปิดไม่สนิท มีเสียงดังน่ากลัว,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
การทำเรื่องขอผ่อนผันและดรอปรายวิชา (Withdraw) อาจารย์ประจำวิชาไม่อนุมัติในระบบ ต้องการสอบถามขั้นตอนที่ถูกต้อง,การเรียนการสอนและวิชาการ,0,0,1,0,0,0,0,0
อาหารที่ซื้อจากร้านข้าว ทางเดิน Skywalk บูดเสียและมีกลิ่นเปรี้ยว กินเข้าไปแล้วท้องเสีย อาหารไม่สดใหม่,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
ช้อนส้อมและจานชามที่ หอพักลุมพินี ล้างไม่สะอาด มีคราบมันและเศษอาหารติดอยู่ อยากให้ตรวจเข้มงวด,สุขอนามัยและความปลอดภัยทางอาหาร,0,0,0,0,0,0,0,1
โปรเจกเตอร์และจอแสดงผลห้อง 1202 คณะนิติศาสตร์ เปิดไม่ติด ภาพกระพริบ ลำโพงไมค์ไม่ดัง อาจารย์สอนไม่ได้,อาคารและสิ่งอำนวยความสะดวก,1,0,0,0,0,0,0,0
มีบุคคลภายนอกน่าสงสัยเดินวนเวียน ประตู 2 หน้ามอ ท่าทางไม่น่าไว้วางใจ อยากให้ รปภ. ช่วยตรวจสอบ,ความปลอดภัยและจราจร,0,0,0,0,1,0,0,0
ป้ายรอรถเมล์ คณะเภสัชศาสตร์ หลังคารั่ว ฝนตกแล้วน้ำรั่วลงมา เปียกทั้งที่นั่ง รอรถลำบากมาก,การเดินทางและระบบขนส่ง,0,0,0,0,0,0,1,0
ระบบเครือข่ายอินเทอร์เน็ต LAN ประตู 2 หน้ามอ สายแลนชำรุด สัญญาณไม่เข้าคอมพิวเตอร์,ระบบเครือข่ายและเทคโนโลยี,0,1,0,0,0,0,0,0
ห้องปฏิบัติการคอมพิวเตอร์ห้อง 2103 ทางเดิน Skywalk ระบบไฟฟ้าขัดข้อง แอร์ดับ และสัญญาณอินเทอร์เน็ต WiFi ใช้งานไม่ได้พร้อมกัน,"อาคารและสิ่งอำนวยความสะดวก, ระบบเครือข่ายและเทคโนโลยี",1,1,0,0,0,0,0,0
รถสองแถวมอ ขับเร็วเฉี่ยวชนสุนัขจรจัดเสียชีวิตบริเวณ คณะพยาบาลศาสตร์ เศษซากสัตว์และคราบเลือดขวางถนน อันตรายและส่งกลิ่นเหม็นมาก,"ภูมิทัศน์และความสะอาด, ความปลอดภัยและจราจร, การเดินทางและระบบขนส่ง",0,0,0,1,1,0,1,0
