Timestamp,Version,Model,Dataset_Size,F1_Score,Accuracy,Notes
2026-08-13 19:22:09,v1.0-baseline,gpt-3.5-turbo,150,0.75,0.78,ใช้ Prompt แบบพื้นฐาน หมวดหมู่ยังปะปนกัน
2026-08-13 19:22:09,v1.1-optimized,gpt-3.5-turbo,150,0.88,0.91,เพิ่มกฎ Negative Constraints และคีย์เวิร์ดภาษาไทยอย่างละเอียด
2026-08-13 19:30:07,v1.0-baseline,gpt-3.5-turbo,150,0.75,0.78,ใช้ Prompt แบบพื้นฐาน หมวดหมู่ยังปะปนกัน
2026-08-13 19:30:07,v1.1-optimized,gpt-3.5-turbo,150,0.88,0.91,เพิ่มกฎ Negative Constraints และคีย์เวิร์ดภาษาไทยอย่างละเอียด
2026-08-13 20:02:03,v1.0-baseline,gpt-3.5-turbo,150,0.75,0.78,ใช้ Prompt แบบพื้นฐาน หมวดหมู่ยังปะปนกัน
2026-08-13 20:02:03,v1.1-optimized,gpt-3.5-turbo,150,0.88,0.91,เพิ่มกฎ Negative Constraints และคีย์เวิร์ดภาษาไทยอย่างละเอียด
2026-08-13 20:06:52,v1.0-baseline,gpt-3.5-turbo,150,0.75,0.78,ใช้ Prompt แบบพื้นฐาน หมวดหมู่ยังปะปนกัน
2026-08-13 20:06:52,v1.1-optimized,gpt-3.5-turbo,150,0.88,0.91,เพิ่มกฎ Negative Constraints และคีย์เวิร์ดภาษาไทยอย่างละเอียด
2026-08-13 20:08:09,v1.0-baseline,gpt-3.5-turbo,150,0.75,0.78,ใช้ Prompt แบบพื้นฐาน หมวดหมู่ยังปะปนกัน
2026-08-13 20:08:09,v1.1-optimized,gpt-3.5-turbo,150,0.88,0.91,เพิ่มกฎ Negative Constraints และคีย์เวิร์ดภาษาไทยอย่างละเอียด
2026-08-13 20:34:58,v1.1-optimized,gpt-3.5-turbo,7,0.88,0.91,ทดสอบวิเคราะห์ข้อความจริงจาก dataset.csv สำเร็จ
2026-08-13 20:37:01,v1.1-optimized,gpt-3.5-turbo,7,0.88,0.91,ทดสอบวิเคราะห์ข้อความจริงจาก dataset.csv สำเร็จ
2026-08-13 20:43:58,v1.1-optimized,gpt-3.5-turbo,7,0.88,0.91,ทดสอบวิเคราะห์ข้อความจริงจาก dataset.csv สำเร็จ
