Raw_Text,1_Matched_Keywords,2_Category_Scores,3_Max_Score,4_Predicted_Category
อาจารย์ครับ ตารางเรียนไม่ขึ้นระบบ รบกวนให้คำแนะนำที,"['ตารางเรียน', 'อาจารย์', 'ระบบ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 17, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 4, 'บริการและสวัสดิการนิสิต': 0}",17,การเรียนการสอนและหลักสูตร
แจ้งทำความสะอาดตรงโรงอาหาร กิ่งไม้หักขวางทาง ครับ,"['กิ่งไม้หัก', 'ทำความสะอาด', 'โรงอาหาร', 'อาหาร']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 21, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 13, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",21,สุขอนามัยและความสะอาด
ลืมรหัสผ่านเข้าระบบ ตอนนี้อยู่ตึกคณะ ทำงานไม่ได้เลย,"['ลืมรหัสผ่าน', 'ระบบ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 15, 'บริการและสวัสดิการนิสิต': 0}",15,ระบบเครือข่ายและเทคโนโลยี
รปภ. ช่วยดูตรงทางแยก หน่อยครับ หมวกกันน็อคหาย,"['รปภ.', 'รปภ', 'หมวกกันน็อคหาย']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 7, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 14}",14,บริการและสวัสดิการนิสิต
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ คนจอดรถขวางทาง,"['รปภ.', 'จอดรถขวาง', 'รปภ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 16, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",16,ความปลอดภัยและจราจร
อาจารย์ครับ เกรดยังไม่ออกครับ รบกวนให้คำแนะนำที,"['เกรด', 'อาจารย์']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 11, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",11,การเรียนการสอนและหลักสูตร
สอบถามหน่อยครับ สอบถามเรื่องทุนการศึกษา,"['ทุนการศึกษา', 'สอบถามหน่อยครับ']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 26}",26,บริการและสวัสดิการนิสิต
อาจารย์ครับ ลงทะเบียนวิชานี้ไม่ได้ รบกวนให้คำแนะนำที,"['วิชา', 'อาจารย์']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 11, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",11,การเรียนการสอนและหลักสูตร
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ หมวกกันน็อคหาย,"['รปภ.', 'รปภ', 'หมวกกันน็อคหาย']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 7, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 14}",14,บริการและสวัสดิการนิสิต
แจ้งเรื่องลิฟต์ค้าง ตรงห้อง 1204 ช่วยมาดูหน่อย,"['ลิฟต์ค้าง', 'ลิฟต์']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 14, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",14,สิ่งอำนวยความสะดวกและอาคารสถานที่
แจ้งเรื่องประตูพัง ตรงห้องบรรยาย ช่วยมาดูหน่อย,"['พัง', 'ประตูพัง']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 11, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",11,สิ่งอำนวยความสะดวกและอาคารสถานที่
แจ้งเรื่องไฟดับครับ ตรงห้องน้ำตึกสงวน ช่วยมาดูหน่อย,['ไฟดับ'],"{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 5, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",5,สิ่งอำนวยความสะดวกและอาคารสถานที่
รปภ. ช่วยดูตรงหลังมอ หน่อยครับ รถติดหนักมาก,"['รถติด', 'รปภ.', 'รปภ']","{'การเดินทาง / รถเมล์มพ.': 5, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 7, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",7,ความปลอดภัยและจราจร
อาจารย์ครับ ขอสอบชดเชยต้องทำไง รบกวนให้คำแนะนำที,"['ขอสอบชดเชย', 'อาจารย์']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 17, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 0, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 0}",17,การเรียนการสอนและหลักสูตร
รปภ. ช่วยดูตรงหน้ามอ หน่อยครับ หมวกกันน็อคหาย,"['รปภ.', 'รปภ', 'หมวกกันน็อคหาย']","{'การเดินทาง / รถเมล์มพ.': 0, 'สิ่งอำนวยความสะดวกและอาคารสถานที่': 0, 'สุขอนามัยและความสะอาด': 0, 'การเรียนการสอนและหลักสูตร': 0, 'โรงอาหาร / ร้านค้าบริการ': 0, 'ความปลอดภัยและจราจร': 7, 'ระบบเครือข่ายและเทคโนโลยี': 0, 'บริการและสวัสดิการนิสิต': 14}",14,บริการและสวัสดิการนิสิต
